Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Belarus,BLR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4480.508001,5017.310263,5460.295895,5735.83109,6490.271127,6842.255225,4824.419478,4055.47952,4690.779612,5139.384723,5563.113009,5200.944075,5812.021741,..,..
Belgium,BEL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,36866.04911,36326.63933,38266.98374,36945.841,38766.03804,39529.63106,33799.73983,34528.49059,36341.19107,39046.70141,38340.122,36801.28174,41743.01428,..,..
Belize,BLZ,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4069.969924,3910.153095,4048.758406,4209.029233,4499.948912,4666.687565,4961.389643,4904.168825,4791.120508,4682.794601,4827.922323,4225.900436,4880.641882,..,..
Benin,BEN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,882.9768265,835.8037865,919.3505087,938.4780566,1038.962879,1075.709759,898.7970381,906.4334423,937.83574,1023.026103,1002.593298,1058.144905,1173.285653,..,..
Bermuda,BMU,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1503.24734,1800.593586,2040.565998,2002.649333,1989.027209,2135.13951,2194.601147,2295.347808,2610.161909,2618.652833,2913.822943,2724.888887,2945.360817,..,..
Bolivia,BOL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1453.72776,1582.732487,1845.87183,1972.184963,2202.047588,2386.034637,2532.414506,2618.281113,2764.057011,2907.081576,2940.944319,2652.860747,2656.573859,..,..
Bosnia and Herzegovina,BIH,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,4156.505046,3979.791313,4300.627304,3976.011135,4294.747845,4374.136837,3879.896309,4098.323025,4436.294092,5018.399176,5104.820147,5099.284971,6019.153696,..,..
Botswana,BWA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3900.709246,4662.32762,5818.838323,5391.613169,5307.631622,5578.067306,4758.559277,4762.375707,5052.441727,5140.361571,5277.733063,4911.421975,5455.567399,..,..
Brazil,BRA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,6936.075263,8878.024676,10260.08084,9351.31113,9456.544249,9242.577872,6666.747079,6565.206981,7642.228743,6984.288498,6818.492046,5367.949034,5775.839583,..,..
British Virgin Islands,VGB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,21015.53441,24906.51152,31018.03037,33074.54307,33009.28335,31081.4866,25218.02373,23292.71976,23827.933,23571.7042,23965.6857,22157.41968,22736.00679,..,..
Bulgaria,BGR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,5759.802811,5620.271104,6408.16262,6243.723979,6422.010445,6643.095885,5819.877624,6238.054937,6970.955514,7752.822898,8165.632881,8311.253957,10114.52352,..,..
Burkina Faso,BFA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,536.8762988,536.4078866,600.7477058,629.0124765,656.5531648,653.9370902,543.1460657,574.4594987,613.2867856,677.4041963,652.8998364,683.9393089,670.0551391,..,..
Burundi,BDI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,108.8844104,134.13015,140.0494194,159.1551922,164.079509,175.8240158,202.0450777,160.4994974,160.7895958,163.0881199,152.5862591,150.0321826,150.9325674,..,..
Cabo Verde,CPV,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2876.711426,2717.136914,3062.316794,2874.02049,3083.465694,3055.011176,2650.499569,2765.951793,2939.133213,3306.369116,3334.092873,2840.364161,3210.02754,..,..
Cambodia,KHM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,643.0351782,687.8655757,768.8949336,823.9027455,872.2239417,933.4239152,993.6407446,1084.876158,1181.818127,1285.940819,1390.35959,1331.135318,1343.726676,..,..
Cameroon,CMR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1190.313688,1109.361062,1182.039544,1122.02923,1239.555523,1324.675829,1147.733922,1175.441758,1213.088552,1309.376635,1268.70514,1285.527495,1377.092232,..,..
Canada,CAN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,32986.0481,38678.18059,42617.97406,43024.4508,43054.54265,41608.03615,35364.11911,34318.54492,36906.31172,37828.31686,37785.72761,34953.03636,41986.23286,..,..
Cayman Islands,CYM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,CAF,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,419.2832342,435.5575338,477.61026,485.4919537,305.9026408,337.77415,305.4455,324.0134356,376.674065,399.4516288,393.0234506,392.5273224,417.4338142,..,..
Chad,TCD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,578.5199197,635.7098841,673.451211,677.238274,687.6097952,747.2476475,577.5483944,503.8728638,456.3534877,509.7988771,496.0228846,440.5267782,468.6466316,..,..
Channel Islands,CHI,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,7591.880292,9447.952267,10496.04266,11767.17728,12389.67046,11572.41285,11170.85481,11021.32454,11698.30222,12043.82629,11461.20313,9720.749788,11116.89571,..,..
